entry,take,dice,fpfn_ratio,log_ratio,s1,s2,tp,fp,fn
SF,40,0.7927647961114763,0.1580763664699989,-1.8446770306339002,28881,21318,19898,1420,8983
SF,41,0.7645659071243149,0.84255079006772,-0.17132133362583593,28294,27178,21206,5972,7088
SF,42,0.8167566178360318,0.08960822450680744,-2.4123081718432036,24677,18124,17479,645,7198
SF,43,0.772539184952978,0.980349344978166,-0.019846296371930656,23979,23871,18483,5388,5496
SF,44,0.7870412395336098,0.5352589416676069,-0.6250046460608366,34007,29888,25144,4744,8863
SF,45,0.7761087084474243,1.1943817406571358,0.17762867966545312,38302,39852,30328,9524,7974
SF,46,0.7871728221737256,0.24570824180294523,-1.4036104558460656,40606,31335,28315,3020,12291
SF,47,0.7684142864206484,1.1186670687575393,0.11213785937439508,29943,30730,23311,7419,6632
SF,48,0.7930932652387652,0.9964800536372779,-0.0035261559498116555,28794,28773,22828,5945,5966
SF,49,0.7892679057116954,0.4528762574470163,-0.7921363531833558,38097,32495,27858,4637,10239
SF,50,0.8483904609608566,0.7953235633130249,-0.22900624925095694,36579,35336,30506,4830,6073
SF,51,0.8437716701902749,1.0531229162036009,0.05175995587755856,29443,29682,24944,4738,4499
SF,52,0.8355982717070458,0.18282548476454294,-1.6992232163064553,39046,31081,29299,1782,9747
SF,53,0.36422732831305915,10.689940828402367,2.3693031897926695,7349,23725,5659,18066,1690
SF,54,0.8412524914807432,2.1871772805507743,0.7826117994751005,21950,24709,19626,5083,2324
SF,55,0.8138843297528316,0.15944523182830533,-1.8360547898408366,34920,26617,25042,1575,9878
SF,56,0.8189195181435223,0.48173681664247703,-0.7303573376200146,35970,31685,27702,3983,8268
SF,57,0.4438787685943839,35.602094240837694,3.572404463117568,8943,28770,8370,20400,573
SF,58,0.7952710907921995,1.8036194668623136,0.5897954608433783,26355,29641,22266,7375,4089
SF,59,0.7596737982039091,0.35549348230912475,-1.034248363777163,33749,26827,23009,3818,10740
SF,60,0.8298457661111407,0.6751703651930806,-0.3927902270766936,29101,27242,23378,3864,5723
SF,61,0.7489325564388667,0.032899844720496896,-3.4142873409636847,26178,16213,15874,339,10304
SF,62,0.7853329458016551,1.1929989060790749,0.1764702261657148,32068,33303,25669,7634,6399
SF,63,0.6411829904571382,1.8636461704422869,0.6225348755206909,16494,20497,11859,8638,4635
SF,64,0.8490532209794647,0.8572883081622263,-0.15398100136753165,36675,35834,30782,5052,5893
SF,65,0.7217464832039358,0.21055447796134039,-1.558010856676634,38424,26621,23473,3148,14951
SF,66,0.8120175255581056,0.8829676071055381,-0.12446676409578043,33943,33159,27244,5915,6699
SF,67,0.8296479487925517,0.48958498966449354,-0.714197206619003,29101,25891,22812,3079,6289
SF,68,0.7888815178452966,0.41767640769779046,-0.8730482905254483,40953,34417,29729,4688,11224
SF,69,0.8067538583108903,0.3426330532212885,-1.0710952201588322,33938,28071,25013,3058,8925
SJ,0,0.6721867607016917,0.1068575734740015,-2.2362584202341806,28329,16477,15059,1418,13270
SJ,1,0.7645154327649472,0.12371252002746624,-2.0897947918721727,24677,17020,15939,1081,8738
SJ,2,0.7376047441021013,0.051886304909560726,-2.958700398206253,23979,14806,14304,502,9675
SJ,3,0.7869109080783299,0.11044003451251079,-2.2032825794201343,38889,27548,26140,1408,12749
SJ,4,0.706665657864871,0.02396830637173985,-3.731022889196487,33825,19043,18680,363,15145
SJ,5,0.7456525272224931,0.05104096709200806,-2.975126692397678,34047,21330,20646,684,13401
SJ,6,0.7474985095789762,0.037402356679465114,-3.2860215637269525,38302,23761,23196,565,15106
SJ,7,0.60985216635122,0.00695330722175769,-4.968537873344831,40606,18041,17883,158,22723
SJ,8,0.709725473505001,0.027185782061902253,-3.6050611606574465,29954,17036,16675,361,13279
SJ,9,0.7478518958225124,0.03534214855889343,-3.342679017139163,41608,25777,25197,580,16411
SJ,10,0.7803456886843265,0.04047315319494375,-3.207116408749897,24560,16286,15937,349,8623
SJ,11,0.6439742410303588,0.010993795580711875,-4.510424203430207,35174,17002,16800,202,18374
SJ,12,0.6694467684584815,0.013588808273539905,-4.298508746088786,50552,25944,25605,339,24947
SJ,13,0.7729284553756512,0.5011111111111111,-0.6909274238216325,28794,24753,20694,4059,8100
SJ,14,0.7363957149864708,0.12348260048556785,-2.091655019596112,38097,25100,23269,1831,14828
SJ,15,0.7150557261580089,0.05754363592890731,-2.8552117332668736,29196,17371,16649,722,12547
SJ,16,0.7747485013182508,0.07986160146871911,-2.5274601240955987,40462,27431,26300,1131,14162
SJ,17,0.6383840657176616,0.0018185597007170321,-6.309710464426932,36265,17054,17019,35,19246
SJ,18,0.8179635853307234,0.3513365318711446,-1.046010734592815,29443,24711,22148,2563,7295
SJ,19,0.737832193473305,0.033951587551084565,-3.3828196646249244,39046,23681,23141,540,15905
SJ,20,0.518568162106757,2.9830397912589692,1.092942844786241,9643,15723,6577,9146,3066
SJ,21,0.8465644575523436,0.37325479930191974,-0.985493984502382,21950,19077,17366,1711,4584
SJ,22,0.7285384350788685,0.06394042498555563,-2.7498034887420078,37816,23235,22239,996,15577
SJ,23,0.7631327121631831,0.06547349342999546,-2.72610989870425,35970,23595,22728,867,13242
SJ,24,0.5635363427099996,5.496515679442509,1.704114378655747,8944,16687,7222,9465,1722
