entry,take,dice,fpfn_ratio,log_ratio,s1,s2,tp,fp,fn
FSB,17,0.7840348663837596,0.4815106215578285,-0.730826988677128,37512,32240,27344,4896,10168
FSB,18,0.6388019506514302,0.9268103280916327,-0.07600634266680985,27855,27101,17553,9548,10302
FSB,19,0.6979368661983024,0.48364431259270824,-0.7264055337678933,34764,28150,21955,6195,12809
FSB,20,0.6766905745572944,0.1202703421850886,-2.118013218522821,40821,24290,22030,2260,18791
FSB,21,0.6999762639449324,0.37700006808742426,-0.9755099109308952,38279,29129,23592,5537,14687
FSB,22,0.7402678683189385,0.6233131234109134,-0.4727062806626628,33882,30030,23656,6374,10226
FSB,23,0.6854008542543711,0.9295137580098002,-0.0730936704134501,32917,32169,22305,9864,10612
FSB,24,0.6325026325026325,0.12165752485430237,-2.1065453550745863,45861,25364,22525,2839,23336
FSB,25,0.7163399904236751,0.19618315638637399,-1.628706584739115,38542,26201,23189,3012,15353
FSB,26,0.6487358079691474,0.604967340118487,-0.5025808056836732,32679,27478,19513,7965,13166
FSB,27,0.6736872836468282,1.508496312920808,0.4111133354116768,22391,25563,16153,9410,6238
FSB,28,0.5154257778952236,0.10822925060435133,-2.223503610801878,31559,13852,11703,2149,19856
FSB,29,0.7433200787840499,0.38319815760488635,-0.9592030408174324,29989,23829,20002,3827,9987
FSB,30,0.7334087651806592,0.29023072429906543,-1.237079071293091,38003,28282,24307,3975,13696
FSB,31,0.6978558125467599,0.36171891814333884,-1.0168878379820212,35859,26962,21920,5042,13939
FSB,32,0.6967255673729168,0.40082005260714837,-0.9142426990080526,33725,25980,20799,5181,12926
FSB,33,0.6404371039369293,0.5490111779879622,-0.5996364770460705,22139,17943,12835,5108,9304
FSB,34,0.6353651506417064,0.37923911172318814,-0.9695883711901895,38368,27550,20941,6609,17427
FSB,35,0.6060186923274516,0.749495481267,-0.2883549904543235,26732,23877,15335,8542,11397
FSB,36,0.7273727725496282,0.41498242530755713,-0.8795191083046573,39433,31444,25777,5667,13656
FSB,37,0.563714660175997,0.5244014130576998,-0.6454978324781834,30340,23070,15054,8016,15286
FSB,38,0.6613089361938794,0.24528398343642963,-1.4053386236267196,43342,28579,23781,4798,19561
FSB,39,0.6143451339092466,0.2741574431040915,-1.2940527277501568,32403,20730,16321,4409,16082
FSC,0,0.697269796885316,0.25949264824688967,-1.3490269072326544,30332,21166,17954,3212,12378
FSC,1,0.7347669667420925,0.2004862953138815,-1.6070093871208746,36140,25289,22568,2721,13572
FSC,2,0.8152178342910706,0.6406730595259634,-0.44523599972135924,25530,23544,20003,3541,5527
FSC,3,0.7605022931410904,0.03672459723455537,-3.304308524046858,41717,26530,25951,579,15766
FSC,4,0.7598549278598692,0.1596940726577438,-1.8344953399305943,37064,26077,23989,2088,13075
FSC,5,0.7967535661583867,1.0608478802992518,0.059068475459567574,20208,20452,16198,4254,4010
FSC,6,0.7679001370522651,0.31666316453036353,-1.149916642494615,30249,23745,20731,3014,9518
FSC,7,0.7476024972645942,0.1438780719025742,-1.9387890609772387,36944,25204,23231,1973,13713
FSC,8,0.7458491776598908,0.04068947840574138,-3.201785735784015,39437,24466,23831,635,15606
FSC,9,0.7556037272877809,0.20357328193342725,-1.5917292311417632,38586,27843,25097,2746,13489
FSC,10,0.767414807718626,0.08481608553418973,-2.4672700662695743,34963,23493,22430,1063,12533
FSC,11,0.7972813339953091,0.12439464438324946,-2.0842961511854,33816,24595,23285,1310,10531
FSC,12,0.8039658076201976,0.17325979459870675,-1.7529631080298682,35816,27122,25300,1822,10516
FSC,13,0.7950132256146323,0.23024858478956436,-1.4685957502735825,27512,21257,19386,1871,8126
FSC,14,0.7928096508340964,0.08123831290255558,-2.5103683093177436,29539,20695,19913,782,9626
FSC,15,0.7461719379615467,0.05373480813874095,-2.9236942912036117,37330,23471,22684,787,14646
FSC,16,0.8343112403169483,0.40387503754881343,-0.9066497618661057,30191,26222,23533,2689,6658
FSC,17,0.7568530656946238,0.03579137943040178,-3.330048212605454,37512,23665,23151,514,14361
FSC,18,0.7685918335662164,0.48069042592822553,-0.7325318212178967,27855,23673,19802,3871,8053
FSC,19,0.8035599717044762,0.15472391451503723,-1.8661129469571025,34764,26023,24423,1600,10341
FSC,20,0.7416889977796494,0.016021200987773293,-4.133842372126088,40821,24484,24218,266,16603
FSC,21,0.7563981934512608,0.09687897189662477,-2.334292791925889,38279,25489,24117,1372,14162
FSC,22,0.762546476512996,0.12981727574750831,-2.041627388441335,33882,23405,21842,1563,12040
FSC,23,0.7338664493454897,0.3865546218487395,-0.9504820966224343,32917,25982,21612,4370,11305
FSC,24,0.6776917862388431,0.04362538869581123,-3.1321159885666034,45861,24947,23993,954,21868
FSC,25,0.6601664199295523,0.04319891349770163,-3.141939934564518,38542,20225,19398,827,19144
FSC,26,0.6727348738218304,0.14981973561223128,-1.8983224701667254,32679,19945,17701,2244,14978
FSC,27,0.6550012244261894,1.0178385416666667,0.01768130207861256,22391,22528,14711,7817,7680
FSC,28,0.7312044732687956,0.14567120622568094,-1.9264032090195515,31559,21020,19223,1797,12336
FSC,29,0.8093227495355514,0.206053412462908,-1.579619860000267,29989,23300,21564,1736,8425
FSC,30,0.7932699067347799,0.04907245917234818,-3.0144573145390003,38003,26008,25389,619,12614
FSC,31,0.6967215982645814,0.08716919603662361,-2.4399042669377033,35859,21303,19913,1390,15946
FSC,32,0.6368003795891738,0.04262202043132804,-3.155384247726036,33725,16856,16105,751,17620
FSC,33,0.7551692681937969,0.3348991434097817,-1.0939258569344827,22139,17325,14901,2424,7238
FSC,34,0.7397750270626441,0.1214251909945237,-2.108456917809225,38368,25373,23577,1796,14791
FSC,35,0.7912728969781823,0.6808643908549953,-0.3843921250336273,26732,24694,20346,4348,6386
FSC,36,0.6525002887169419,0.07147217417845152,-2.6384470773587285,39433,21180,19775,1405,19658
FSC,37,0.7207549319308105,0.2946302816901408,-1.2220339910638158,30340,22327,18980,3347,11360
FSC,38,0.7189421894218943,0.021337732134305325,-3.8472783117500318,43342,24950,24549,401,18793
FSC,39,0.7666450755122217,0.38073625819465456,-0.9656483792707713,32403,26263,22488,3775,9915
FSD,0,0.4417759885240971,0.16078903055087804,-1.8276621425313988,30332,12889,9547,3342,20785
FSD,1,0.6148391286795036,0.1780843981531193,-1.7254976941345508,36140,20831,17514,3317,18626
FSD,2,0.563144988249719,0.17887916178396637,-1.721044774938913,25530,13618,11023,2595,14507
FSD,3,0.4805373443612783,0.028726076343439346,-3.5499499853335066,41717,14262,13450,812,28267
FSD,4,0.5653745072273325,0.10377752027809965,-2.265505899352874,37064,17728,15489,2239,21575
FSD,5,0.537956008583691,0.13080584277039226,-2.0340411714582793,20208,9616,8022,1594,12186
FSD,6,0.6372028906804795,0.15838612870956986,-1.8427193747143678,30249,17629,15254,2375,14995
FSD,7,0.5103247697527872,0.061848301379078374,-2.783070644076496,36944,14631,13160,1471,23784
FSD,8,0.5787887658636544,0.08086253369272237,-2.51500468094528,39437,18636,16806,1830,22631
FSD,9,0.6013769128523226,0.11704312114989733,-2.14521285524804,38586,20096,17645,2451,20941
FSD,10,0.634135505368382,0.10815811606391926,-2.224161084887263,34963,19057,17128,1929,17835
FSD,11,0.5746221980106128,0.07698201879852881,-2.5641834064960123,33816,15747,14240,1507,19576
FSD,12,0.6560750912567356,0.1677289896128423,-1.7854057591841417,35816,21714,18872,2842,16944
FSD,13,0.5436196247523599,0.23539432176656153,-1.4464932060842688,27512,15393,11662,3731,15850
FSD,14,0.5227702848381764,0.06941163839381576,-2.6677007253304104,29539,12204,10911,1293,18628
FSD,15,0.4712023109871501,0.04073870765370138,-3.2005765904907144,37330,12865,11826,1039,25504
FSD,16,0.5174638799270584,0.07927211880359758,-2.534868803543677,30191,12583,11067,1516,19124
FSD,17,0.5405046480743692,0.04095929857738428,-3.1951764229730912,37512,15198,14245,953,23267
FSD,18,0.5914098324716371,0.9166166766646671,-0.0870659130243282,27855,26882,16186,10696,11669
FSD,19,0.589058844004409,0.08795371934674653,-2.430944519360771,34764,16949,15231,1718,19533
FSD,20,0.6515926510190099,0.07312883435582822,-2.6155325391695587,40821,21936,20446,1490,20375
FSD,21,0.630191316786138,0.2041388800677464,-1.5889547321208517,38279,23242,19385,3857,18894
FSD,22,0.5218242636860569,0.11161688003793267,-2.1926829856525982,33882,15146,12792,2354,21090
FSD,23,0.6657969978556112,0.3089305711086226,-1.1746387162995986,32917,23043,18629,4414,14288
FSD,24,0.4838688946015424,0.04288543323702237,-3.149223062293418,45861,16379,15058,1321,30803
FSD,25,0.5127590212462997,0.046182315552337275,-3.075158334425945,38542,14832,13684,1148,24858
FSD,26,0.6487480236790822,0.2707682075157965,-1.3064921469196504,32679,21715,17644,4071,15035
FSD,27,0.6868612057472967,0.49575471698113205,-0.701673996789107,22391,18115,13911,4204,8480
FSD,28,0.5137311767986614,0.0874033424794213,-2.4372217535802707,31559,13266,11514,1752,20045
FSD,29,0.6021132174944533,0.11231884057971014,-2.1864136612320038,29989,15534,13705,1829,16284
FSD,30,0.5476631062091204,0.07078110768963872,-2.6481631544325612,38003,16578,14946,1632,23057
FSD,31,0.5873250094589482,0.07267899291896145,-2.621702891921088,35859,17001,15523,1478,20336
FSD,32,0.6003874982875707,0.11057326226476667,-2.2020769707953534,33725,17372,15339,2033,18386
FSD,33,0.5358601439694433,0.21328725038402457,-1.5451154284557607,22139,11896,9119,2777,13020
FSD,34,0.5666379900626789,0.11029643290900094,-2.2045836931458895,38368,18589,16137,2452,22231
FSD,35,0.5244981544218031,0.14970352711045906,-1.8990984266420037,26732,12822,10373,2449,16359
FSD,36,0.5608195517639243,0.0739109990167999,-2.604893625610477,39433,17769,16040,1729,23393
FSD,37,0.6100012460024089,0.19977001213824827,-1.6105885134303817,30340,17814,14687,3127,15653
FSD,38,0.5513327153567189,0.04539426319578644,-3.0923695432453897,43342,18149,16951,1198,26391
FSD,39,0.5721293342524166,0.8334249210056326,-0.18221165762633026,32403,29978,17845,12133,14558
FSF,0,0.6865467567347603,1.0834144758195392,0.08011760562511255,30332,31103,21089,10014,9243
FSF,1,0.7040160019312676,0.0915045148162279,-2.3913669656640937,36140,21853,20414,1439,15726
FSF,2,0.7307328715111504,7.892016376663255,2.0658516632549286,25530,38997,23576,15421,1954
FSF,3,0.839828303850156,0.30527877888488447,-1.1865298907142154,41717,35163,32283,2880,9434
FSF,4,0.8692323300642543,0.9588652482269504,-0.04200472676930451,37064,36861,32129,4732,4935
FSF,5,0.7097161657571089,0.6798126322151707,-0.3859380596403852,20208,18089,13590,4499,6618
FSF,6,0.7374860956618465,1.0822628779032049,0.07905410646361852,30249,30883,22542,8341,7707
FSF,7,0.8130476378490835,0.21004521328877532,-1.5604324700635626,36944,28907,26770,2137,10174
FSF,8,0.8331887262447871,0.2329333884981382,-1.4570027525637925,39437,32021,29769,2252,9668
FSF,9,0.798558236354238,0.44103537877273635,-0.8186301827786031,38586,32993,28580,4413,10006
FSF,10,0.778493551113143,1.3287212350713662,0.284217002327837,34963,37220,28097,9123,6866
FSF,11,0.8314115370699555,0.4502029769959405,-0.7980567379237707,33816,29753,26426,3327,7390
FSF,12,0.8302280610209031,0.26163321167883213,-1.3408117114984808,35816,29342,27048,2294,8768
FSF,13,0.7597194906331327,0.4414253366702419,-0.8177463861039994,27512,22825,19121,3704,8391
FSF,14,0.6655252326104251,0.8780345698193824,-0.13006931275153616,29539,28283,19241,9042,10298
FSF,15,0.7965013930665484,0.7072915455285498,-0.34631232817358665,37330,34813,28731,6082,8599
FSF,16,0.8171203501094092,0.5246643315820199,-0.6449965892888634,30191,26934,23339,3595,6852
FSF,17,0.8453452613922281,0.5210338190816607,-0.6519403274704624,37512,34028,30238,3790,7274
FSF,18,0.7196546762589928,0.6060006594131223,-0.5008742047729488,27855,24270,18756,5514,9099
FSF,19,0.8026774799487164,0.6876195333418335,-0.3745195978754395,34764,32314,26921,5393,7843
FSF,20,0.6848400468309971,0.03869016581499635,-3.2521698245462463,40821,22385,21643,742,19178
FSF,21,0.8106771980168482,0.36743279294069364,-1.0012148534050187,38279,32114,28533,3581,9746
FSF,22,0.8150508533764023,1.1639427987742594,0.15181320615522856,33882,34845,28008,6837,5874
FSF,23,0.7132861741292573,0.03198279450534203,-3.442557192487738,32917,18964,18503,461,14414
FSF,24,0.7684568952174586,0.11704312114989733,-2.14521285524804,45861,31671,29790,1881,16071
FSF,25,0.6317782925550802,0.09652567975830816,-2.337946194553519,38542,20599,18682,1917,19860
FSF,26,0.5890664949157836,0.1971230384352968,-1.6239271846156773,32679,18558,15091,3467,17588
FSF,27,0.7749587587963833,1.8101694915254238,0.5934204826203751,22391,25498,18556,6942,3835
FSF,28,0.8285499722467105,0.6985282225456898,-0.35877969659786757,31559,29695,25376,4319,6183
FSF,29,0.806643266323259,2.692687173534533,0.9905396442653044,29989,35822,26543,9279,3446
FSF,30,0.8760489827834174,0.3383084577114428,-1.083797202882969,38003,33614,31370,2244,6633
FSF,31,0.8145024766443038,0.1980157926705811,-1.6194084905058075,35859,27937,25981,1956,9878
FSF,32,0.7437480703920963,0.24045167718365992,-1.4252361360960175,33725,24577,21681,2896,12044
FSF,33,0.7157278452940654,7.141768292682927,1.9659604057284334,22139,34226,20171,14055,1968
FSF,34,0.7713060754993203,0.21964627151051624,-1.5157368833890719,38368,28573,25816,2757,12552
FSF,35,0.8195704726202572,2.0847559149445942,0.734651781225012,26732,30354,23393,6961,3339
FSF,36,0.8226339706523728,0.23634402275178973,-1.442466811879525,39433,31646,29236,2410,10197
FSF,37,0.7890897557881383,7.851273148148148,2.0606757031213077,30340,42179,28612,13567,1728
FSF,38,0.8046817657544301,0.17848952155001976,-1.7232253822865298,43342,32954,30697,2257,12645
FSF,39,0.7414909513531462,0.5457162712200934,-0.6056560880820206,32403,27827,22330,5497,10073
FSG,0,0.6824086787271603,1.7272609484322363,0.5465368870161129,30332,35945,22614,13331,7718
FSG,1,0.7662116040955631,0.7869565217391304,-0.2395822776573696,36140,34180,26940,7240,9200
FSG,2,0.7345867178827551,2.215154749199573,0.7953222652551624,25530,31223,20845,10378,4685
FSG,3,0.841510371382437,0.627135934710533,-0.4665919600761392,41717,38793,33875,4918,7842
FSG,4,0.7786854168820874,5.065176322418136,1.6223889490232815,37064,49975,33888,16087,3176
FSG,5,0.7803266579120157,7.974015088013411,2.076188141108541,20208,28528,19015,9513,1193
FSG,6,0.7572270864254688,6.295008183306056,1.8397569674646563,30249,43190,27805,15385,2444
FSG,7,0.8391291783065216,5.3619047619047615,1.6793192779821668,36944,46104,34844,11260,2100
FSG,8,0.8750014697409728,3.7715439856373427,1.3274844628810436,39437,45612,37209,8403,2228
FSG,9,0.7460609213340269,2.477441823650467,0.907226505069599,38586,47919,32269,15650,6317
FSG,10,0.7756862555577034,5.487071977638015,1.7023947758399007,34963,47805,32101,15704,2862
FSG,11,0.6953425554555128,1.6805905653583004,0.5191452586430161,33816,39486,25485,14001,8331
FSG,12,0.8142367239901155,3.1798581560283687,1.1568365907747262,35816,43500,32291,11209,3525
FSG,13,0.7284641890228895,3.604068857589984,1.2820634454431503,27512,37496,23678,13818,3834
FSG,14,0.8210400514816291,3.2534595775673707,1.1797189155841477,29539,35727,26793,8934,2746
FSG,15,0.8006626571109591,3.170015067805123,1.15373634112872,37330,45971,33348,12623,3982
FSG,16,0.7217398843214724,20.315939278937382,3.011405764104909,30191,50550,29137,21413,1054
FSG,17,0.7978036688713173,6.584255319148936,1.884681241351468,37512,50635,35162,15473,2350
