neutral_take,style_take,dice,fpfn_ratio,log_ratio,s1,s2,tp,fp,fn
0,Relaxed18,0.6733897269705849,23.098548510313215,3.139769780502167,33828,62755,32519,30236,1309
1,Relaxed18,0.8291501737895047,5.917872648335745,1.777977034370965,49162,62755,46398,16357,2764
2,Relaxed18,0.8629983437337928,2.1453812175917033,0.7633172604079492,56791,62755,51584,11171,5207
3,Relaxed18,0.8563920466357868,1.8757701915070775,0.6290193438837397,57496,62755,51491,11264,6005
4,Relaxed18,0.8584430153739196,0.887496049720847,-0.11935120866123601,63823,62755,54330,8425,9493
0,Relaxed19,0.6975160256410257,37.30440587449933,3.619111439633924,33828,61020,33079,27941,749
1,Relaxed19,0.8774209943547948,15.390776699029127,2.7337684143505054,49162,61020,48338,12682,824
2,Relaxed19,0.8658953747952228,1.731028522039758,0.5487157532621132,56791,61020,51006,10014,5785
3,Relaxed19,0.8573019676668129,1.5264415894831191,0.4229392681194713,57496,61020,50802,10218,6694
4,Relaxed19,0.8605848946276523,0.7225851148060174,-0.32492005997424134,63823,61020,53719,7301,10104
0,Old20,0.6844021503397695,2.0810984216604647,0.7328958416609418,33828,42253,26035,16218,7793
1,Old20,0.7860635563091396,0.477896168669236,-0.7383617904436868,49162,42253,35929,6324,13233
2,Old20,0.7385202536246517,0.28093777821743,-1.269622063998806,56791,42253,36573,5680,20218
3,Old20,0.7483583795326268,0.24434860202260558,-1.4091593764912382,57496,42253,37324,4929,20172
4,Old20,0.6931068290659527,0.20294139383637572,-1.594838041935728,63823,42253,36761,5492,27062
0,Old21,0.6466430616037877,1.6060030015007505,0.473748484452307,33828,39885,23833,16052,9995
1,Old21,0.7737262344604535,0.3694691769183715,-0.9956879604269127,49162,39885,34449,5436,14713
2,Old21,0.7324672100624767,0.2094458732756605,-1.563289934453709,56791,39885,35406,4479,21385
3,Old21,0.7441287314773929,0.17179270127915727,-1.761466754157744,57496,39885,36232,3653,21264
4,Old21,0.6855016006479732,0.15344626374792233,-1.874404846548286,63823,39885,35546,4339,28277
0,Old22,0.7295023139555028,4.024132383360147,1.3923093307056367,33828,46986,29477,17509,4351
1,Old22,0.860215501102467,0.7213114754098361,-0.32668423025505006,49162,46986,41354,5632,7808
2,Old22,0.8171945614153425,0.3185293299972199,-1.1440407203063905,56791,46986,42403,4583,14388
3,Old22,0.8264964300070825,0.2660101962427544,-1.3242206391954021,57496,46986,43177,3809,14319
4,Old22,0.7630968603633279,0.2184831043445971,-1.5210465930902926,63823,46986,42279,4707,21544
0,Old23,0.7253452255212612,2.5017456359102246,0.9169887425720871,33828,42861,27813,15048,6015
1,Old23,0.8128837355878422,0.46420068027210887,-0.7674383196708603,49162,42861,37402,5459,11760
2,Old23,0.7652430457993818,0.2535633908477119,-1.37214142469569,56791,42861,38129,4732,18662
3,Old23,0.7718445150811603,0.22013215389534263,-1.5135272134532305,57496,42861,38730,4131,18766
4,Old23,0.7126654418656968,0.18777123372597646,-1.672530898988519,63823,42861,38015,4846,25808
